461	47.5	7.5	-2.5	0
462	52.5	7.5	-2.5	0
463	57.5	7.5	-2.5	0
464	62.5	7.5	-2.5	0
465	67.5	7.5	-2.5	0
466	72.5	7.5	-2.5	0
467	77.5	7.5	-2.5	0
468	82.5	7.5	-2.5	0
469	87.5	7.5	-2.5	0
470	92.5	7.5	-2.5	0
471	97.5	7.5	-2.5	0
472	102.5	7.5	-2.5	0
473	107.5	7.5	-2.5	0
474	112.5	7.5	-2.5	0
475	117.5	7.5	-2.5	0
476	122.5	7.5	-2.5	0
477	127.5	7.5	-2.5	0
478	132.5	7.5	-2.5	0
479	137.5	7.5	-2.5	0
480	142.5	7.5	-2.5	0
485	147.5	12.5	-2.5	0
486	147.5	12.5	2.5	0
487	-2.5	12.5	2.5	0
488	-2.5	12.5	-2.5	0
547	142.5	12.5	2.5	0
548	137.5	12.5	2.5	0
549	132.5	12.5	2.5	0
550	127.5	12.5	2.5	0
551	122.5	12.5	2.5	0
552	117.5	12.5	2.5	0
553	112.5	12.5	2.5	0
554	107.5	12.5	2.5	0
555	102.5	12.5	2.5	0
556	97.5	12.5	2.5	0
557	92.5	12.5	2.5	0
558	87.5	12.5	2.5	0
559	82.5	12.5	2.5	0
560	77.5	12.5	2.5	0
561	72.5	12.5	2.5	0
562	67.5	12.5	2.5	0
563	62.5	12.5	2.5	0
564	57.5	12.5	2.5	0
565	52.5	12.5	2.5	0
566	47.5	12.5	2.5	0
567	42.5	12.5	2.5	0
568	37.5	12.5	2.5	0
569	32.5	12.5	2.5	0
570	27.5	12.5	2.5	0
571	22.5	12.5	2.5	0
572	17.5	12.5	2.5	0
573	12.5	12.5	2.5	0
574	7.5	12.5	2.5	0
575	2.5	12.5	2.5	0
576	2.5	12.5	-2.5	0
577	7.5	12.5	-2.5	0
578	12.5	12.5	-2.5	0
579	17.5	12.5	-2.5	0
580	22.5	12.5	-2.5	0
581	27.5	12.5	-2.5	0
582	32.5	12.5	-2.5	0
583	37.5	12.5	-2.5	0
584	42.5	12.5	-2.5	0
585	47.5	12.5	-2.5	0
586	52.5	12.5	-2.5	0
587	57.5	12.5	-2.5	0
588	62.5	12.5	-2.5	0
589	67.5	12.5	-2.5	0
590	72.5	12.5	-2.5	0
591	77.5	12.5	-2.5	0
592	82.5	12.5	-2.5	0
593	87.5	12.5	-2.5	0
594	92.5	12.5	-2.5	0
595	97.5	12.5	-2.5	0
596	102.5	12.5	-2.5	0
597	107.5	12.5	-2.5	0
598	112.5	12.5	-2.5	0
599	117.5	12.5	-2.5	0
600	122.5	12.5	-2.5	0
601	127.5	12.5	-2.5	0
602	132.5	12.5	-2.5	0
603	137.5	12.5	-2.5	0
604	142.5	12.5	-2.5	0
609	147.5	17.5	-2.5	0
610	147.5	17.5	2.5	0
611	-2.5	17.5	2.5	0
612	-2.5	17.5	-2.5	0
671	142.5	17.5	2.5	0
672	137.5	17.5	2.5	0
673	132.5	17.5	2.5	0
674	127.5	17.5	2.5	0
675	122.5	17.5	2.5	0
676	117.5	17.5	2.5	0
677	112.5	17.5	2.5	0
678	107.5	17.5	2.5	0
679	102.5	17.5	2.5	0
680	97.5	17.5	2.5	0
681	92.5	17.5	2.5	0
682	87.5	17.5	2.5	0
683	82.5	17.5	2.5	0
684	77.5	17.5	2.5	0
685	72.5	17.5	2.5	0
686	67.5	17.5	2.5	0
687	62.5	17.5	2.5	0
688	57.5	17.5	2.5	0
689	52.5	17.5	2.5	0
690	47.5	17.5	2.5	0
691	42.5	17.5	2.5	0
692	37.5	17.5	2.5	0
693	32.5	17.5	2.5	0
694	27.5	17.5	2.5	0
695	22.5	17.5	2.5	0
696	17.5	17.5	2.5	0
697	12.5	17.5	2.5	0
