1	17539	17536	17535	17540	17542	17537	17538	17541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	17547	17544	17543	17548	17539	17536	17535	17540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	17555	17552	17551	17556	17547	17544	17543	17548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	17563	17560	17559	17564	17555	17552	17551	17556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	17571	17568	17567	17572	17563	17560	17559	17564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	17579	17576	17575	17580	17571	17568	17567	17572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	17587	17584	17583	17588	17579	17576	17575	17580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	17595	17592	17591	17596	17587	17584	17583	17588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	17603	17600	17599	17604	17595	17592	17591	17596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	17611	17608	17607	17612	17603	17600	17599	17604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	17619	17616	17615	17620	17611	17608	17607	17612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	17627	17624	17623	17628	17619	17616	17615	17620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	17635	17632	17631	17636	17627	17624	17623	17628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	17643	17640	17639	17644	17635	17632	17631	17636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	17651	17648	17647	17652	17643	17640	17639	17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	17659	17656	17655	17660	17651	17648	17647	17652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	17667	17664	17663	17668	17659	17656	17655	17660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	17675	17672	17671	17676	17667	17664	17663	17668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	17683	17680	17679	17684	17675	17672	17671	17676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	17691	17688	17687	17692	17683	17680	17679	17684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	17699	17696	17695	17700	17691	17688	17687	17692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	17707	17704	17703	17708	17699	17696	17695	17700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	17715	17712	17711	17716	17707	17704	17703	17708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17723	17720	17719	17724	17715	17712	17711	17716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	17731	17728	17727	17732	17723	17720	17719	17724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	17739	17736	17735	17740	17731	17728	17727	17732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	17747	17744	17743	17748	17739	17736	17735	17740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	17755	17752	17751	17756	17747	17744	17743	17748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	17763	17760	17759	17764	17755	17752	17751	17756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	17771	17768	17767	17772	17763	17760	17759	17764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	17779	17776	17775	17780	17771	17768	17767	17772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	17787	17784	17783	17788	17779	17776	17775	17780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	17795	17792	17791	17796	17787	17784	17783	17788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	17803	17800	17799	17804	17795	17792	17791	17796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	17811	17808	17807	17812	17803	17800	17799	17804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	17819	17816	17815	17820	17811	17808	17807	17812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	17827	17824	17823	17828	17819	17816	17815	17820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	17835	17832	17831	17836	17827	17824	17823	17828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	17843	17840	17839	17844	17835	17832	17831	17836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	17851	17848	17847	17852	17843	17840	17839	17844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	17859	17856	17855	17860	17851	17848	17847	17852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	17867	17864	17863	17868	17859	17856	17855	17860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	17875	17872	17871	17876	17867	17864	17863	17868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
